Compound,MagpieData mean SpaceGroupNumber,MagpieData minimum GSvolume_pa,avg ionic char,MagpieData range MeltingT,MagpieData avg_dev MendeleevNumber,mean_diff_eta,MagpieData maximum CovalentRadius,avg anion electron affinity,MagpieData minimum AtomicWeight,geom-mean_eta_both,Thermo_Dyn_stability_level
NH-S-Re,163.0,6.615,0.041094773465969,3444.99,12.5,7.05,151.0,-210500.0,1.00794,4.99653092699648,4
NH-S-Ru,163.0,6.615,0.027867016860768996,2592.99,11.75,5.05,146.0,-210500.0,1.00794,4.65670209414476,5
NH-S-Sn,149.75,6.615,0.037972190362778,491.07,4.5,14.85,139.0,-210500.0,1.00794,6.01297193460763,4
NH-S-Tc,163.0,6.615,0.041094773465969,2415.99,12.875,9.35,147.0,-210500.0,1.00794,5.33755221736636,4
NH-S-Te,152.5,6.615,0.031585702874444004,708.65,3.0,7.25,138.0,-210500.0,1.00794,5.028055615381549,8
NH-S-Ti,163.0,6.615,0.063688848994831,1926.99,16.625,24.55,160.0,-210500.0,1.00794,6.92880210174927,1
NH-S-W,171.75,6.615,0.023517117226816,3680.99,13.625,2.05,162.0,-210500.0,1.00794,4.02772406675194,4
NH-S-Zr,163.0,6.615,0.078940581186713,2113.99,16.25,19.55,175.0,-210500.0,1.00794,6.489054557462749,3
NH-Se-Ce,149.0,6.615,0.09408922292048899,1056.99,27.25,11.2,204.0,-205500.0,1.00794,5.25542296786547,1
NH-Se-Ge,156.75,6.615,0.03514965415839,1197.39,5.0,20.7,120.0,-205500.0,1.00794,6.22232671782182,4
NH-Se-Hf,149.0,6.615,0.080481152579085,2491.99,16.0,24.8,175.0,-205500.0,1.00794,6.559531991200269,1
