Compound,mean EN difference,geom-mean_eta_both,MagpieData mean Electronegativity,max ionic char,MagpieData avg_dev MendeleevNumber,MagpieData minimum Electronegativity,MagpieData range MeltingT,MagpieData mean Row,MagpieData avg_dev NpValence,MagpieData mean GSbandgap,std_dev EN difference,Formation_energy
SH-NCO-Cd,0.873333333333333,5.57358950019244,2.58333333333333,0.534956811865944,6.33333333333333,1.69,3808.99,2.5,1.5,3.498,0.432473505932252,-0.4122781478
SH-NCO-Co,0.81,5.16567630456898,2.615,0.455779073674793,8.77777777777778,1.88,3808.99,2.33333333333333,1.5,3.498,0.335111921602321,-0.3256936928
SH-NCO-Cu,0.803333333333333,5.1865902018922,2.61833333333333,0.447277935696606,7.44444444444444,1.9,3808.99,2.33333333333333,1.5,3.498,0.325320354932386,-0.1576671428
SH-NCO-Fe,0.826666666666667,4.96931878435279,2.60666666666667,0.476922164006862,9.44444444444444,1.83,3808.99,2.33333333333333,1.5,3.498,0.360046293319808,-0.3389335328
SH-NCO-Mg,1,8.17492339081603,2.52,0.678328679969553,6.66666666666667,1.31,3808.99,2.16666666666667,1.5,3.498,0.639296488336984,-0.8097002928
SH-NCO-Mn,0.92,5.38704025268447,2.56,0.590584603914435,10.1111111111111,1.55,3808.99,2.33333333333333,1.5,3.498,0.507444578254611,-0.3765482728
SH-NCO-Ni,0.8,5.22791935633604,2.62,0.443019472906049,8.11111111111111,1.91,3808.99,2.33333333333333,1.5,3.498,0.320468407179241,-0.3832783145
SH-NCO-Pb,0.66,5.22791935633604,2.69,0.319140970908075,4.5,2.2,3808.99,2.66666666666667,1.16666666666667,3.498,0.176918060129541,-0.3623007595
SH-NCO-Pd,0.703333333333333,4.8531704214795,2.66833333333333,0.319140970908075,7.88888888888889,2.2,3808.99,2.5,1.5,3.498,0.202072594216369,-0.1214763262
SH-NCO-Pt,0.676666666666667,5.12333279103395,2.68166666666667,0.319140970908075,7.66666666666667,2.2,3808.99,2.66666666666667,1.5,3.498,0.183393929379719,-0.0229905312
SH-NCO-Sr,1.12,6.49508899264359,2.46,0.787757332306276,21.4444444444444,0.95,3808.99,2.5,1.5,3.498,0.841130192063036,-1.0626853062
SH-NCO-Zn,0.886666666666667,5.66235581405587,2.57666666666667,0.551131362113503,6.5,1.65,3808.99,2.33333333333333,1.5,3.498,0.453688586293873,-0.4178266295
SH-NC-Pb,0.45,5.73058353203079,2.54,0.161717396775766,4.8,2.2,3808.99,2.8,1.04,4.1976,0.176918060129541,0.2404589306
SH-NC-Pd,0.493333333333333,5.31980250647187,2.514,0.161717396775766,8.56,2.2,3808.99,2.6,1.44,4.1976,0.202072594216369,0.5846853046
SH-NC-Pt,0.466666666666667,5.6159409738847,2.53,0.161717396775766,8.32,2.2,3808.99,2.8,1.44,4.1976,0.183393929379719,0.7083820526
